t_inf	y_d
2683	1.76
2688	1.68
2693	1.44
2698	1.69
2703	1.70
2708	1.68
2713	1.72
2718	1.58
2723	1.70
2728	1.66
2733	1.82
2738	2.03
2743	1.69
2748	1.72
2753	1.66
2758	1.87
2763	2.00
2768	1.51
2773	1.35
2778	1.48
2783	1.32
2788	1.26
2793	1.58
2798	1.25
2803	1.27
2808	1.15
2813	1.11
2818	1.16
2823	0.82
2828	0.89
2833	1.30
2838	1.45
2843	1.42
2848	1.46
2853	1.24
2858	1.36
2863	1.36
2868	1.38
2873	1.83
2878	1.58
2883	1.06
2888	1.03
2893	1.27
2898	1.41
2903	1.48
2908	1.43
2913	1.17
2918	1.05
2923	1.24
2928	1.43
2933	1.78
2938	1.79
2943	1.63
2948	1.57
2953	1.73
2958	1.60
2963	1.68
2968	1.60
2973	1.39
2978	1.39
2983	1.23
2988	1.31
2993	1.35
2998	1.29
3003	1.29
3008	1.56
3013	1.32
3018	1.25
3023	1.42
3028	1.54
3033	1.50
3038	1.48
3043	1.38
3048	1.33
3053	1.61
3058	1.37
3063	1.33
3068	1.35
3073	1.33
3078	1.38
3083	1.35
3088	1.27
3093	1.21
3098	1.23
3103	1.33
3108	1.36
3113	1.22
3118	1.46
3123	1.52
3128	1.35
3133	1.22
3138	1.28
3143	1.35
3148	1.39
3153	1.47
3158	1.55
3163	1.54
3168	1.42
3173	1.34
3178	1.46
3183	1.46
3188	1.36
3193	1.30
3198	1.33
3203	1.24
3208	1.20
3213	1.31
3218	1.38
3223	1.19
3228	1.23
3233	1.23
3238	1.12
3243	1.08
3248	1.53
3253	1.19
3258	1.33
3263	1.63
3268	1.56
3273	1.13
3278	1.22
3283	1.45
3288	1.24
3293	1.13
3298	1.10
3303	1.05
3308	1.26
3313	1.26
3318	1.59
3323	1.70
3328	1.66
3333	1.53
3338	1.30
3343	1.44
3348	1.56
3353	1.35
3358	1.51
3363	1.67
3368	1.65
3373	1.60
3378	1.55
3383	1.75
3388	1.69
3393	1.54
3398	1.65
3403	1.63
3408	1.73
3413	1.53
3418	1.65
3423	1.48
3428	1.61
3433	1.48
3438	1.61
3443	1.32
3448	1.67
3453	1.51
3458	1.69
3463	1.52
3468	1.59
3473	1.26
3478	1.32
3483	1.36
3488	1.64
3493	1.68
3498	1.55
3503	1.25
3508	1.32
3513	1.23
3518	1.21
3523	1.51
3528	1.11
3533	1.00
3538	1.13
3543	1.40
3548	1.20
3553	1.31
3558	1.36
3563	1.49
3568	1.62
3573	1.71
3578	1.32
3583	1.61
3588	1.53
3593	1.31
3598	1.51
3603	1.33
3608	1.48
3613	1.29
3618	1.53
3623	1.49
3628	1.55
3633	1.29
3638	1.34
3643	1.41
3648	1.48
3653	1.44
3658	1.36
3663	1.51
3668	1.23
3673	1.43
3678	1.25
3683	1.43
3688	1.18
3693	1.15
3698	1.27
3703	1.36
3708	1.27
3713	1.53
3718	1.39
3723	1.71
3728	1.51
3733	1.45
3738	1.43
3743	1.24
3748	1.36
3753	1.45
3758	1.36
3763	1.46
3768	1.42
3773	1.61
3778	1.53
3783	1.17
3788	1.42
3793	1.54
3798	1.24
3803	1.24
3808	1.23
3813	1.36
3818	1.11
3823	1.25
3828	1.36
3833	1.64
3838	1.70
3843	1.55
3848	1.50
3853	1.29
3858	1.39
3863	1.33
3868	1.34
3873	1.20
3878	1.17
3883	1.49
3888	1.70
3893	1.24
3898	1.54
3903	1.35
3908	1.45
3913	1.83
3918	1.50
3923	1.19
3928	1.17
3933	1.28
3938	1.25
3943	1.38
3948	1.41
3953	1.34
3958	1.37
3963	1.23
3968	1.50
3973	1.83
3978	1.45
3983	1.30
3988	1.63
3993	1.92
3998	1.68
4003	1.24
4008	1.21
4013	1.35
4018	1.05
4023	1.13
4028	1.37
4033	1.18
4038	1.12
4043	1.17
4048	1.19
4053	1.33
4058	1.53
4063	1.33
4068	1.23
4073	1.23
4078	1.36
4083	1.51
4088	1.56
4093	1.53
4098	1.79
4103	1.93
4108	1.57
4113	1.37
4118	1.32
4123	1.34
4128	1.76
4133	1.84
4138	1.33
